Candidate,Party,State,Office,Incumbency,Result,Total Money
"STITT, KEVIN",REPUBLICAN,OK,GOVERNOR,Open,Pending,7121088.92
"HUNTER, MIKE",REPUBLICAN,OK,ATTORNEY GENERAL,Incumbent,Pending,2434586.11
"HERN, KEVIN RAY",REPUBLICAN,OK,US HOUSE DISTRICT OK 001,Open,Pending,2266355.06
"EDMONDSON, WILLIAM ANDREW (DREW)",DEMOCRATIC,OK,GOVERNOR,Open,Pending,2056148.62
"COLE, TOM",REPUBLICAN,OK,US HOUSE DISTRICT OK 004,Incumbent,Pending,1432549.37
"MULLIN, MARKWAYNE",REPUBLICAN,OK,US HOUSE DISTRICT OK 002,Incumbent,Pending,1258330.91
"PINNELL, MATT",REPUBLICAN,OK,LIEUTENANT GOVERNOR,Open,Pending,1087030.03
"LUCAS, FRANK D",REPUBLICAN,OK,US HOUSE DISTRICT OK 003,Incumbent,Pending,826199.43
"MULREADY, GLEN",REPUBLICAN,OK,INSURANCE COMMISSIONER,Open,Pending,720389.93
"OSBORN, LESLIE",REPUBLICAN,OK,LABOR COMMISSIONER,Open,Pending,711968.36
"RUSSELL, STEVEN DANE",REPUBLICAN,OK,US HOUSE DISTRICT OK 005,Incumbent,Pending,702066.00
"ANTHONY, BOB",REPUBLICAN,OK,CORPORATION COMMISSIONER,Incumbent,Pending,672009.37
"HOFMEISTER, JOY",REPUBLICAN,OK,SUPERINTENDENT OF PUBLIC INSTRUCTION,Incumbent,Pending,468722.09
"KANNADY, CHRIS",REPUBLICAN,OK,HOUSE DISTRICT 091,Incumbent,Pending,425553.71
"HORN, KENDRA",DEMOCRATIC,OK,US HOUSE DISTRICT OK 005,Challenger,Pending,417991.09
"MCCALL, CHARLES A",REPUBLICAN,OK,HOUSE DISTRICT 022,Incumbent,Pending,401312.63
"MCDANIEL, RANDY",REPUBLICAN,OK,TREASURER,Open,Pending,295283.37
"DAVID, KIM",REPUBLICAN,OK,SENATE DISTRICT 018,Incumbent,Pending,246800.00
"SANDERS, MIKE",REPUBLICAN,OK,HOUSE DISTRICT 059,Incumbent,Pending,233466.85
"ECHOLS, JON",REPUBLICAN,OK,HOUSE DISTRICT 090,Incumbent,Pending,212269.96
"QUINN, MARTY",REPUBLICAN,OK,SENATE DISTRICT 002,Incumbent,Pending,187451.53
"BOATMAN, JEFF",REPUBLICAN,OK,HOUSE DISTRICT 067,Open,Pending,154486.00
"BICE, STEPHANIE",REPUBLICAN,OK,SENATE DISTRICT 022,Incumbent,Pending,153075.80
"THOMPSON, ROGER",REPUBLICAN,OK,SENATE DISTRICT 008,Incumbent,Pending,140257.50
"BYRD, CINDY",REPUBLICAN,OK,AUDITOR,Open,Pending,127292.97
"WRIGHT, HAROLD",REPUBLICAN,OK,HOUSE DISTRICT 057,Incumbent,Pending,124064.40
"WALLACE, KEVIN",REPUBLICAN,OK,HOUSE DISTRICT 032,Incumbent,Pending,123832.45
"ODONNELL, TERRY",REPUBLICAN,OK,HOUSE DISTRICT 023,Incumbent,Pending,123501.17
"WEST, JOSH",REPUBLICAN,OK,HOUSE DISTRICT 005,Incumbent,Pending,118104.46
"BOLES, BRAD",REPUBLICAN,OK,HOUSE DISTRICT 051,Incumbent,Pending,115922.61
"NOLLAN, JADINE",REPUBLICAN,OK,HOUSE DISTRICT 066,Incumbent,Pending,114930.51
"SMALLEY, JASON",REPUBLICAN,OK,SENATE DISTRICT 028,Incumbent,Pending,113093.00
"PFEIFFER, JOHN",REPUBLICAN,OK,HOUSE DISTRICT 038,Incumbent,Pending,110679.33
"MURDOCK, WILLIAM CASEY",REPUBLICAN,OK,SENATE DISTRICT 027,Open,Won,109516.90
"HALL, CHUCK",REPUBLICAN,OK,SENATE DISTRICT 020,Open,Pending,107552.94
"MUNSON, CYNDI",DEMOCRATIC,OK,HOUSE DISTRICT 085,Incumbent,Pending,104247.51
"HOWELL, JOE M",REPUBLICAN,OK,SENATE DISTRICT 040,Open,Pending,98355.32
"BAKER, RHONDA",REPUBLICAN,OK,HOUSE DISTRICT 060,Incumbent,Pending,97800.66
"VIRGIN, EMILY",DEMOCRATIC,OK,HOUSE DISTRICT 044,Incumbent,Pending,94290.40
"BERRONG, JEFF",DEMOCRATIC,OK,SENATE DISTRICT 038,Open,Pending,94217.32
"KIRT, JULIA",DEMOCRATIC,OK,SENATE DISTRICT 030,Open,Pending,88111.78
"OSBURN, MIKE",REPUBLICAN,OK,HOUSE DISTRICT 081,Incumbent,Pending,87514.81
"LAWSON, MARK",REPUBLICAN,OK,HOUSE DISTRICT 030,Incumbent,Pending,86948.02
"FLOYD, KAY",DEMOCRATIC,OK,SENATE DISTRICT 046,Incumbent,Pending,86925.00
"ALLEN, MARK",REPUBLICAN,OK,SENATE DISTRICT 004,Incumbent,Pending,83924.93
"KOUPLEN, STEVE",DEMOCRATIC,OK,HOUSE DISTRICT 024,Incumbent,Pending,82670.77
"MARTINEZ, RYAN",REPUBLICAN,OK,HOUSE DISTRICT 039,Incumbent,Pending,77525.88
"RUSS, TODD D",REPUBLICAN,OK,HOUSE DISTRICT 055,Incumbent,Pending,75850.00
"MCBRIDE, MARK",REPUBLICAN,OK,HOUSE DISTRICT 053,Incumbent,Pending,75550.00
"FRIX, AVERY CARL",REPUBLICAN,OK,HOUSE DISTRICT 013,Incumbent,Pending,75292.18
