Candidate,Party,State,Office,Incumbency,Result,Total Money
"LOVE, MIA",REPUBLICAN,UT,US HOUSE DISTRICT UT 004,Incumbent,Pending,2471504.75
"MCADAMS, BEN",DEMOCRATIC,UT,US HOUSE DISTRICT UT 004,Challenger,Pending,1638804.11
"BISHOP, ROBERT (ROB)",REPUBLICAN,UT,US HOUSE DISTRICT UT 001,Incumbent,Pending,750578.59
"STEWART, CHRIS",REPUBLICAN,UT,US HOUSE DISTRICT UT 002,Incumbent,Pending,697679.85
"WILSON, JENNY",DEMOCRATIC,UT,US SENATE DISTRICT UT SW-CLASS I,Open,Pending,544599.61
"CURTIS, JOHN R",REPUBLICAN,UT,US HOUSE DISTRICT UT 003,Incumbent,Pending,396494.77
"MAYNE, KAREN",DEMOCRATIC,UT,SENATE DISTRICT 005,Incumbent,Pending,176940.64
"GHORBANI, SHIREEN SARAH",DEMOCRATIC,UT,US HOUSE DISTRICT UT 002,Challenger,Pending,109604.65
"MILLNER, ANN",REPUBLICAN,UT,SENATE DISTRICT 018,Incumbent,Pending,106790.00
"STEVENSON, JERRY W",REPUBLICAN,UT,SENATE DISTRICT 021,Incumbent,Pending,101141.00
"DAVIS, GENE",DEMOCRATIC,UT,SENATE DISTRICT 003,Incumbent,Pending,100578.00
"GIBSON, FRANCIS D",REPUBLICAN,UT,HOUSE DISTRICT 065,Incumbent,Pending,75451.00
"AALDERS, TIM",CONSTITUTION,UT,US SENATE DISTRICT UT SW-CLASS I,Open,Pending,71751.23
"WILSON, BRAD R",REPUBLICAN,UT,HOUSE DISTRICT 015,Incumbent,Pending,70093.55
"ZEHNDER, BRIAN",REPUBLICAN,UT,SENATE DISTRICT 008,Incumbent,Pending,69478.81
"KNOTWELL, JOHN",REPUBLICAN,UT,HOUSE DISTRICT 052,Incumbent,Pending,60403.39
"VICKERS, EVAN J",REPUBLICAN,UT,SENATE DISTRICT 028,Incumbent,Pending,58759.94
"DUNNIGAN, JIM",REPUBLICAN,UT,HOUSE DISTRICT 039,Incumbent,Pending,52069.18
"HARRISON, SUZANNE",DEMOCRATIC,UT,HOUSE DISTRICT 032,Open,Pending,48975.84
"WARD, RAYMOND",REPUBLICAN,UT,HOUSE DISTRICT 019,Incumbent,Pending,45438.71
"BONHAM, BRAD",REPUBLICAN,UT,HOUSE DISTRICT 032,Open,Pending,40540.00
"IWAMOTO, JANI",DEMOCRATIC,UT,SENATE DISTRICT 004,Incumbent,Pending,39812.79
"KWAN, KAREN",DEMOCRATIC,UT,HOUSE DISTRICT 034,Incumbent,Pending,39712.13
"KITCHEN, DEREK LLOYD",DEMOCRATIC,UT,SENATE DISTRICT 002,Open,Pending,37336.03
"IVORY, KEN",REPUBLICAN,UT,HOUSE DISTRICT 047,Incumbent,Pending,35490.92
"SANDALL, SCOTT",REPUBLICAN,UT,SENATE DISTRICT 017,Open,Pending,34629.19
"WINTERTOWN, RONALD",REPUBLICAN,UT,SENATE DISTRICT 026,Open,Pending,34495.00
"DAILEY-PROVOST, JEN",DEMOCRATIC,UT,HOUSE DISTRICT 024,Open,Pending,29394.00
"MCCAY, DAN",REPUBLICAN,UT,SENATE DISTRICT 011,Open,Pending,26638.70
"WALDRIP, STEVE",REPUBLICAN,UT,HOUSE DISTRICT 008,Open,Pending,24584.21
"BRAMMER, BRADY",REPUBLICAN,UT,HOUSE DISTRICT 027,Open,Pending,24322.44
"ARENT, PATRICE",DEMOCRATIC,UT,HOUSE DISTRICT 036,Incumbent,Pending,24015.00
"MALOY, CORY",REPUBLICAN,UT,HOUSE DISTRICT 006,Incumbent,Pending,22987.87
"BROWN, LORRAINE P",REPUBLICAN,UT,HOUSE DISTRICT 010,Open,Pending,22350.00
"MCKELL, MIKE",REPUBLICAN,UT,HOUSE DISTRICT 066,Incumbent,Pending,22185.00
"MUSSELMAN, CALVIN R",REPUBLICAN,UT,HOUSE DISTRICT 009,Open,Pending,21680.00
"WINDER, MIKE",REPUBLICAN,UT,HOUSE DISTRICT 030,Incumbent,Pending,20021.00
"LEWIS, DIANE",DEMOCRATIC,UT,HOUSE DISTRICT 043,Challenger,Pending,19360.90
"BALLARD, MELISSA GARFF",REPUBLICAN,UT,HOUSE DISTRICT 020,Open,Pending,17470.00
"RIEBE, KATHLEEN",DEMOCRATIC,UT,SENATE DISTRICT 008,Challenger,Pending,17425.00
"HALL, CRAIG",REPUBLICAN,UT,HOUSE DISTRICT 033,Incumbent,Pending,16963.45
"FERRY, JOEL",REPUBLICAN,UT,HOUSE DISTRICT 001,Open,Pending,16375.00
